first_tcp,second_tcp,queue,base_rtt,ecn,stop_time,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
dctcp,,fq,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,33.11208653333333,0.0,80.30555137931034,0.0,80.819755,0.0,0.21824188974202532,0.0,0.96,0.0,1.68,0.0,252.05783724604964,0.0,0.0,0.0,928.0,0.0,574.2268834908804,1079.3836061411423
dctcp,,pie,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,46.194295200000006,0.0,13.797193728222998,0.0,15.290370000000001,0.0,3.246800397751542,0.0,5.28,0.0,6.0,0.0,50.427593565683644,0.0,915.0,0.0,0.0,0.0,181.48591558138529,151.10651044665178
dctcp,,pie,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,22.361366133333334,0.0,50.70133484320558,0.0,55.42747,0.0,1.2106250033483867,0.0,5.52,0.0,6.0,0.0,77.63042751842752,0.0,623.0,0.0,0.0,0.0,82.17151260375977,105.96176030774954
dctcp,,pie,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,26.922373866666664,0.0,80.69146366782006,0.0,85.19811999999999,0.0,0.8118468139760869,0.0,5.30048,0.0,6.0,0.0,156.94801242236025,0.0,116.0,0.0,0.0,0.0,22.787619988123577,0.05060253876079609
dctcp,,red,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.19300888888889,0.0002526222222250378,14.588209133246934,0.005727427162922427,15.327264999999999,0.049175435549197066,3.8636253490717394,0.009305722199521776,4.64,0.15680000000000013,5.68,0.15680000000000013,62.51228442818594,0.05868006298594112,16.666666666666668,7.534607561851586,5962.333333333333,155.05211912271452,36.65366665522257,0.1363817023692901
dctcp,,red,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,46.95442577777777,0.0002526222222250378,53.5276477434386,0.014209702435262307,54.6635,0.03840362467337818,2.83765760527788,0.013445885221231767,3.84,0.0,4.573653333333333,0.013380266666666703,221.21016929216432,0.07080741214035292,2.0,1.1316065276116665,1199.3333333333333,4.28419316921064,33.241687615712486,0.08661679545870314
dctcp,,red,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,35.159751199999995,0.0,81.08158115340254,0.02170769839721691,83.77679166666667,0.2826273108861328,1.1068364912369244,0.02264609090115111,3.28,0.3136,4.0,0.31360000000000027,259.0131217321169,0.09509404649652065,0.6666666666666666,0.6533333333333333,256.0,16.74624734082236,24.54202167193095,0.10427542383218108
reno,,codel,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.82992866666667,0.0,13.96826724137931,0.0,17.37899,0.0,3.2343809501587084,0.0,6.48,0.0,7.220479999999999,0.0,60.34321907961034,0.0,60.0,0.0,0.0,0.0,29.332026322682697,0.13948719655418895
reno,,codel,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.61871399999999,0.0,13.756062068965514,0.0,17.29388,0.0,3.117672500976435,0.0,6.48,0.0,7.44,0.0,56.136814910693026,0.0,0.0,0.0,58.0,0.0,28.727725585301716,0.056491693676740146
reno,,codel,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,40.17716933333333,0.0,51.08217034482758,0.0,55.282675000000005,0.0,0.8242021217261305,0.0,4.56,0.0,6.0,0.0,178.99519039735097,0.0,5.0,0.0,0.0,0.0,25.572479248046875,0.5305300325925
reno,,codel,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,40.113842,0.0,51.09189,0.0,55.28511,0.0,0.8276454951389155,0.0,4.56,0.0,6.02048,0.0,179.1120011148272,0.0,0.0,0.0,5.0,0.0,24.860388437906902,0.024670694988412786
reno,,codel,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,38.861612666666666,0.0,80.73339724137931,0.0,84.36951,0.0,0.5749750237717908,0.0,4.08,0.0,6.0,0.0,272.6190797297297,0.0,2.0,0.0,0.0,0.0,24.707965056101482,0.1006149362740986
