run_id,returncode,first_tcp,second_tcp,queue,base_rtt,ecn,rng_run,stop_time,link_rate,throughput_mean_mbps,throughput_p05_mbps,throughput_p95_mbps,second_throughput_mean_mbps,ping_rtt_mean_ms,ping_rtt_p95_ms,queue_delay_mean_ms,queue_delay_p95_ms,queue_delay_max_ms,cwnd_mean_segments,drop_count,mark_count,elapsed_wall_seconds,git_commit
tcp-cubic_queue-fq_rtt-50ms_ecn-0_run-2,0,cubic,,fq,50ms,0,2,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,936.2298202514648,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-50ms_ecn-0_run-3,0,cubic,,fq,50ms,0,3,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,27.65972089767456,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-50ms_ecn-1_run-1,0,cubic,,fq,50ms,1,1,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,991.624913930893,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-50ms_ecn-1_run-2,0,cubic,,fq,50ms,1,2,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,27.122411966323853,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-50ms_ecn-1_run-3,0,cubic,,fq,50ms,1,3,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,938.2237238883972,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-0_run-1,0,cubic,,fq,80ms,0,1,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,161.92490792274475,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-0_run-2,0,cubic,,fq,80ms,0,2,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,26.28650999069214,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-0_run-3,0,cubic,,fq,80ms,0,3,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,1018.4055659770966,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-1_run-1,0,cubic,,fq,80ms,1,1,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,26.38286805152893,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-1_run-2,0,cubic,,fq,80ms,1,2,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,26.176246881484985,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-1_run-3,0,cubic,,fq,80ms,1,3,40s,50Mbps,44.25241666666667,38.762919999999994,48.1894,nan,80.43467862068965,80.89552,0.7305902796776832,4.56,7.2,308.44312555391434,0,4,991.4276251792908,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-0_run-1,0,cubic,,pie,10ms,0,1,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,1007.7305448055267,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-0_run-2,0,cubic,,pie,10ms,0,2,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,27.466686010360718,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-0_run-3,0,cubic,,pie,10ms,0,3,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,520.9410331249237,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-1,0,cubic,,pie,10ms,1,1,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,27.170835971832275,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-2,0,cubic,,pie,10ms,1,2,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,980.8359041213989,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-3,0,cubic,,pie,10ms,1,3,40s,50Mbps,46.77309666666667,42.29612,48.1894,nan,11.00569275862069,14.883890000000003,0.7003425474361824,4.08,6.0,55.95008931860037,35,0,961.9850618839264,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-1,0,cubic,,pie,50ms,0,1,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,16.733097076416016,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-2,0,cubic,,pie,50ms,0,2,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,16.74198007583618,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-3,0,cubic,,pie,50ms,0,3,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,954.0384430885315,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-1,0,cubic,,pie,50ms,1,1,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,17.25933003425598,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-2,0,cubic,,pie,50ms,1,2,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,17.005778074264526,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-3,0,cubic,,pie,50ms,1,3,40s,50Mbps,31.62509533333333,12.536755,47.38145999999999,nan,50.47007896551724,51.665544999999995,0.3706642523766273,2.4,6.0,171.35348291571754,16,0,666.7082731723785,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-80ms_ecn-0_run-1,0,cubic,,pie,80ms,0,1,40s,50Mbps,31.737066533333333,7.011216000000001,48.1894,nan,80.7343727586207,84.11143999999999,0.8340895399684728,5.04,6.0,273.51605957108814,19,0,17.210077047348022,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-80ms_ecn-0_run-2,0,cubic,,pie,80ms,0,2,40s,50Mbps,31.737066533333333,7.011216000000001,48.1894,nan,80.7343727586207,84.11143999999999,0.8340895399684728,5.04,6.0,273.51605957108814,19,0,16.963764905929565,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-80ms_ecn-0_run-3,0,cubic,,pie,80ms,0,3,40s,50Mbps,31.737066533333333,7.011216000000001,48.1894,nan,80.7343727586207,84.11143999999999,0.8340895399684728,5.04,6.0,273.51605957108814,19,0,16.85808801651001,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-pie_rtt-80ms_ecn-1_run-1,0,cubic,,pie,80ms,1,1,40s,50Mbps,31.737066533333333,7.011216000000001,48.1894,nan,80.7343727586207,84.11143999999999,0.8340895399684728,5.04,6.0,273.51605957108814,19,0,960.9990801811218,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
