campaign,config_key,warmups,throughput_range_mbps,throughput_range_pct_of_max,fairness_range,queue_delay_range_ms
single-flow,cubic/red/50ms/ecn0,"5.0,10.0,20.0,30.0",8.539336961904759,20.637937307369253,nan,0.035472862911907654
single-flow,cubic/red/50ms/ecn1,"5.0,10.0,20.0,30.0",8.540328628571423,20.62609119916806,nan,0.03468332124495746
single-flow,cubic/red/80ms/ecn0,"5.0,10.0,20.0,30.0",12.568418628571429,29.2263883589107,nan,0.04322530397947014
single-flow,cubic/red/80ms/ecn1,"5.0,10.0,20.0,30.0",12.598865580952381,29.27458614195777,nan,0.04430353108521695
single-flow,dctcp/codel/10ms/ecn1,"5.0,10.0,20.0,30.0",0.6309963428571379,1.309314452377899,nan,0.003539056011880426
single-flow,dctcp/codel/50ms/ecn1,"5.0,10.0,20.0,30.0",7.809424171428567,16.205297982265837,nan,0.05339228123620854
single-flow,dctcp/codel/80ms/ecn1,"5.0,10.0,20.0,30.0",18.670735885714276,39.192936694575494,nan,0.1262208454914531
single-flow,dctcp/fq/10ms/ecn1,"5.0,10.0,20.0,30.0",0.6309963428571379,1.309314452377899,nan,0.004496877923399367
single-flow,dctcp/fq/50ms/ecn1,"5.0,10.0,20.0,30.0",7.804131314285719,16.19664932222131,nan,0.04393665509926192
single-flow,dctcp/fq/80ms/ecn1,"5.0,10.0,20.0,30.0",18.619437314285708,39.14426559813827,nan,0.11129680240543774
single-flow,dctcp/pie/10ms/ecn1,"5.0,10.0,20.0,30.0",2.2704110857143007,4.914916605794,nan,1.04280476577618
single-flow,dctcp/pie/50ms/ecn1,"5.0,10.0,20.0,30.0",5.644488933333335,25.242147101734027,nan,0.7277149581124116
single-flow,dctcp/pie/80ms/ecn1,"5.0,10.0,20.0,30.0",7.074938000000003,23.22202876379541,nan,1.720381229742809
single-flow,dctcp/red/10ms/ecn1,"5.0,10.0,20.0,30.0",1.1999912380952296,2.4899162595524875,nan,0.06965832608629752
single-flow,dctcp/red/50ms/ecn1,"5.0,10.0,20.0,30.0",5.31015363809523,11.018367089474086,nan,0.5389028678855783
single-flow,dctcp/red/80ms/ecn1,"5.0,10.0,20.0,30.0",16.946042285714288,35.22815607342682,nan,1.221538174234942
single-flow,reno/codel/10ms/ecn0,"5.0,10.0,20.0,30.0",0.4093543809523794,0.8558540486339133,nan,0.5605309287040425
single-flow,reno/codel/10ms/ecn1,"5.0,10.0,20.0,30.0",0.4097465714285846,0.8604598063284268,nan,0.5549126910291249
single-flow,reno/codel/50ms/ecn0,"5.0,10.0,20.0,30.0",0.8641649999999927,2.1308166289726973,nan,0.8454781194083877
single-flow,reno/codel/50ms/ecn1,"5.0,10.0,20.0,30.0",1.1319212571428565,2.7676375747090565,nan,0.8004477796241057
single-flow,reno/codel/80ms/ecn0,"5.0,10.0,20.0,30.0",2.9342240000000075,7.491193286115714,nan,1.8284527650030542
single-flow,reno/codel/80ms/ecn1,"5.0,10.0,20.0,30.0",3.195442,8.206757014971984,nan,1.720240364746287
single-flow,reno/fq/10ms/ecn0,"5.0,10.0,20.0,30.0",0.40974171428570827,0.8604497148388006,nan,0.5595568438067207
single-flow,reno/fq/10ms/ecn1,"5.0,10.0,20.0,30.0",0.40974171428570827,0.8604497148388006,nan,0.5595568438067207
single-flow,reno/fq/50ms/ecn0,"5.0,10.0,20.0,30.0",1.132750971428571,2.7695877385781618,nan,0.8004582783082385
single-flow,reno/fq/50ms/ecn1,"5.0,10.0,20.0,30.0",1.132750971428571,2.7695877385781618,nan,0.8004582783082385
single-flow,reno/fq/80ms/ecn0,"5.0,10.0,20.0,30.0",3.195444000000002,8.206274454574302,nan,1.7205595361528765
single-flow,reno/fq/80ms/ecn1,"5.0,10.0,20.0,30.0",3.195444000000002,8.206274454574302,nan,1.7205595361528765
single-flow,reno/pie/10ms/ecn0,"5.0,10.0,20.0,30.0",0.9798371428571429,2.255671223121266,nan,0.0929169729301047
single-flow,reno/pie/10ms/ecn1,"5.0,10.0,20.0,30.0",0.9798371428571429,2.255671223121266,nan,0.0929169729301047
single-flow,reno/pie/50ms/ecn0,"5.0,10.0,20.0,30.0",4.79907645714286,11.622203322359038,nan,0.15003274512833475
single-flow,reno/pie/50ms/ecn1,"5.0,10.0,20.0,30.0",4.79907645714286,11.622203322359038,nan,0.15003274512833475
single-flow,reno/pie/80ms/ecn0,"5.0,10.0,20.0,30.0",7.1450900571428555,21.72352571675134,nan,0.736908192918557
single-flow,reno/pie/80ms/ecn1,"5.0,10.0,20.0,30.0",7.1450900571428555,21.72352571675134,nan,0.736908192918557
single-flow,reno/red/10ms/ecn0,"5.0,10.0,20.0,30.0",0.41393471428570905,0.8982884716540168,nan,0.004955249637274228
single-flow,reno/red/10ms/ecn1,"5.0,10.0,20.0,30.0",0.5288722666666672,1.1693157325227541,nan,0.0164121598787923
single-flow,reno/red/50ms/ecn0,"5.0,10.0,20.0,30.0",3.5700195523809555,9.592524987600648,nan,0.024037077441454974
single-flow,reno/red/50ms/ecn1,"5.0,10.0,20.0,30.0",3.908660933333337,10.164037896123943,nan,0.030474466235957065
single-flow,reno/red/80ms/ecn0,"5.0,10.0,20.0,30.0",8.722417914285717,23.850343814003093,nan,0.07036826772305954
single-flow,reno/red/80ms/ecn1,"5.0,10.0,20.0,30.0",8.681626342857143,23.800747920453272,nan,0.0727578652694151
