#Time(s) qlen(pkts) qlen(us)
4.33 180 216 0.16, 0.14, 0.17, 0.12, 0.15, 0.15, 0.26, 0.14, 0.13, 0.16, 0.15, 0.13, 0.16, 0.20, 0.11, 0.13, 0.16, 0.11, 0.14, 0.15, 0.15, 0.14, 0.14, 0.12, 0.17, 0.14, 0.15, 0.14, 0.10, 0.13, 0.13, 0.11, 0.13, 0.19, 0.20, 0.15, 0.13, 0.16, 0.12, 0.15, 
4.34 197 236 0.15, 0.19, 0.19, 0.12, 0.17, 0.10, 0.11, 0.11, 0.17, 0.13, 0.23, 0.16, 0.13, 0.12, 0.13, 0.10, 0.15, 0.12, 0.13, 0.14, 0.12, 0.18, 0.17, 0.18, 0.16, 0.18, 0.16, 0.16, 0.14, 0.16, 0.13, 0.13, 0.13, 0.14, 0.11, 0.14, 0.14, 0.14, 0.10, 0.15, 
4.35 196 235 0.13, 0.17, 0.20, 0.12, 0.16, 0.12, 0.20, 0.14, 0.20, 0.15, 0.12, 0.16, 0.20, 0.14, 0.09, 0.13, 0.15, 0.10, 0.12, 0.13, 0.11, 0.15, 0.16, 0.17, 0.19, 0.14, 0.15, 0.12, 0.11, 0.12, 0.25, 0.17, 0.11, 0.15, 0.17, 0.19, 0.18, 0.19, 0.15, 0.09, 
4.36 200 240 0.15, 0.14, 0.13, 0.16, 0.17, 0.15, 0.15, 0.15, 0.16, 0.16, 0.16, 0.17, 0.13, 0.10, 0.15, 0.11, 0.17, 0.11, 0.15, 0.17, 0.12, 0.12, 0.16, 0.12, 0.13, 0.14, 0.11, 0.15, 0.13, 0.15, 0.13, 0.15, 0.13, 0.16, 0.15, 0.15, 0.12, 0.18, 0.15, 0.12, 
4.37 180 216 0.13, 0.15, 0.17, 0.14, 0.10, 0.12, 0.13, 0.11, 0.15, 0.12, 0.15, 0.15, 0.11, 0.15, 0.13, 0.11, 0.12, 0.16, 0.17, 0.13, 0.16, 0.17, 0.20, 0.15, 0.13, 0.16, 0.13, 0.21, 0.13, 0.17, 0.14, 0.15, 0.16, 0.19, 0.15, 0.13, 0.12, 0.15, 0.14, 0.14, 
4.38 197 236 0.19, 0.12, 0.12, 0.15, 0.15, 0.13, 0.12, 0.14, 0.15, 0.13, 0.12, 0.16, 0.13, 0.11, 0.16, 0.16, 0.12, 0.14, 0.13, 0.17, 0.15, 0.10, 0.14, 0.17, 0.12, 0.19, 0.12, 0.13, 0.15, 0.14, 0.16, 0.14, 0.16, 0.20, 0.15, 0.21, 0.16, 0.20, 0.16, 0.10, 
4.39 200 240 0.13, 0.12, 0.12, 0.14, 0.12, 0.10, 0.14, 0.10, 0.11, 0.12, 0.18, 0.22, 0.13, 0.12, 0.11, 0.18, 0.14, 0.11, 0.12, 0.17, 0.14, 0.12, 0.14, 0.18, 0.12, 0.12, 0.15, 0.12, 0.11, 0.14, 0.15, 0.14, 0.15, 0.13, 0.16, 0.12, 0.16, 0.14, 0.12, 0.13, 
4.40 194 232 0.15, 0.14, 0.13, 0.16, 0.14, 0.12, 0.10, 0.12, 0.14, 0.12, 0.11, 0.18, 0.11, 0.16, 0.17, 0.18, 0.12, 0.14, 0.14, 0.10, 0.15, 0.13, 0.18, 0.10, 0.15, 0.12, 0.18, 0.15, 0.14, 0.15, 0.15, 0.10, 0.14, 0.16, 0.13, 0.12, 0.14, 0.12, 0.12, 0.14, 
4.41 188 225 0.17, 0.12, 0.20, 0.14, 0.14, 0.15, 0.16, 0.15, 0.11, 0.19, 0.14, 0.14, 0.17, 0.14, 0.15, 0.16, 0.20, 0.15, 0.14, 0.19, 0.16, 0.17, 0.17, 0.13, 0.15, 0.14, 0.13, 0.16, 0.16, 0.16, 0.12, 0.16, 0.19, 0.14, 0.13, 0.13, 0.15, 0.12, 0.15, 0.14, 
4.42 203 243 0.12, 0.12, 0.15, 0.14, 0.12, 0.14, 0.15, 0.12, 0.12, 0.13, 0.14, 0.14, 0.11, 0.14, 0.16, 0.12, 0.21, 0.16, 0.14, 0.12, 0.13, 0.12, 0.17, 0.11, 0.18, 0.16, 0.13, 0.15, 0.15, 0.19, 0.11, 0.13, 0.20, 0.18, 0.15, 0.13, 0.22, 0.14, 0.14, 0.13, 
4.43 198 237 0.13, 0.20, 0.15, 0.16, 0.14, 0.16, 0.14, 0.13, 0.16, 0.12, 0.13, 0.13, 0.13, 0.11, 0.17, 0.14, 0.17, 0.16, 0.17, 0.13, 0.18, 0.19, 0.16, 0.16, 0.15, 0.11, 0.12, 0.14, 0.07, 0.15, 0.11, 0.14, 0.16, 0.14, 0.15, 0.11, 0.19, 0.18, 0.12, 0.17, 
4.44 192 230 0.17, 0.17, 0.16, 0.21, 0.13, 0.14, 0.15, 0.12, 0.14, 0.15, 0.15, 0.14, 0.15, 0.13, 0.17, 0.12, 0.16, 0.20, 0.18, 0.14, 0.15, 0.15, 0.17, 0.11, 0.12, 0.11, 0.10, 0.16, 0.12, 0.15, 0.13, 0.17, 0.17, 0.14, 0.15, 0.11, 0.14, 0.17, 0.16, 0.15, 
4.45 184 220 0.15, 0.12, 0.16, 0.15, 0.18, 0.19, 0.13, 0.13, 0.13, 0.16, 0.14, 0.18, 0.14, 0.15, 0.16, 0.13, 0.14, 0.12, 0.13, 0.19, 0.20, 0.18, 0.14, 0.13, 0.18, 0.15, 0.14, 0.12, 0.15, 0.18, 0.18, 0.18, 0.14, 0.14, 0.15, 0.15, 0.10, 0.10, 0.12, 0.19, 
