#Time(s) qlen(pkts) qlen(us)
4.14 174 208 0.08, 0.10, 0.08, 0.10, 0.06, 0.08, 0.06, 0.08, 0.06, 0.09, 0.08, 0.09, 0.08, 0.07, 0.09, 0.08, 0.06, 0.06, 0.08, 0.06, 
4.15 182 218 0.09, 0.09, 0.09, 0.09, 0.10, 0.08, 0.07, 0.08, 0.07, 0.08, 0.10, 0.06, 0.06, 0.05, 0.08, 0.06, 0.06, 0.09, 0.09, 0.08, 
4.16 177 212 0.08, 0.08, 0.09, 0.08, 0.08, 0.09, 0.09, 0.07, 0.07, 0.10, 0.07, 0.08, 0.07, 0.05, 0.07, 0.08, 0.06, 0.09, 0.07, 0.09, 
4.17 175 210 0.07, 0.06, 0.08, 0.10, 0.08, 0.09, 0.07, 0.07, 0.08, 0.09, 0.06, 0.07, 0.08, 0.08, 0.08, 0.06, 0.08, 0.08, 0.10, 0.08, 
4.18 180 216 0.11, 0.08, 0.09, 0.09, 0.08, 0.08, 0.08, 0.05, 0.06, 0.07, 0.07, 0.06, 0.10, 0.09, 0.08, 0.08, 0.05, 0.07, 0.09, 0.09, 
4.19 176 211 0.09, 0.07, 0.06, 0.09, 0.10, 0.08, 0.05, 0.06, 0.08, 0.09, 0.08, 0.08, 0.10, 0.11, 0.07, 0.07, 0.08, 0.07, 0.11, 0.08, 
4.20 177 212 0.08, 0.09, 0.08, 0.08, 0.10, 0.11, 0.07, 0.07, 0.09, 0.08, 0.10, 0.08, 0.07, 0.08, 0.06, 0.08, 0.06, 0.08, 0.10, 0.07, 
4.21 169 202 0.09, 0.09, 0.07, 0.06, 0.08, 0.07, 0.11, 0.08, 0.13, 0.08, 0.09, 0.10, 0.07, 0.07, 0.07, 0.10, 0.06, 0.08, 0.08, 0.08, 
4.22 181 217 0.07, 0.07, 0.07, 0.07, 0.10, 0.07, 0.10, 0.07, 0.08, 0.07, 0.08, 0.09, 0.08, 0.07, 0.08, 0.08, 0.08, 0.08, 0.08, 0.09, 
4.23 173 207 0.11, 0.06, 0.06, 0.09, 0.09, 0.10, 0.08, 0.06, 0.07, 0.06, 0.09, 0.09, 0.10, 0.07, 0.08, 0.06, 0.09, 0.07, 0.08, 0.09, 
4.24 173 207 0.09, 0.09, 0.07, 0.07, 0.05, 0.08, 0.08, 0.09, 0.05, 0.08, 0.09, 0.08, 0.08, 0.08, 0.07, 0.08, 0.09, 0.08, 0.08, 0.09, 
4.25 175 210 0.08, 0.09, 0.07, 0.10, 0.09, 0.11, 0.09, 0.08, 0.09, 0.06, 0.08, 0.09, 0.06, 0.08, 0.10, 0.06, 0.08, 0.06, 0.08, 0.09, 
4.26 178 213 0.08, 0.09, 0.09, 0.08, 0.12, 0.08, 0.07, 0.09, 0.05, 0.10, 0.08, 0.08, 0.07, 0.08, 0.09, 0.09, 0.06, 0.07, 0.08, 0.10, 
4.27 171 205 0.06, 0.08, 0.07, 0.08, 0.08, 0.06, 0.07, 0.10, 0.05, 0.11, 0.10, 0.08, 0.07, 0.08, 0.06, 0.08, 0.04, 0.07, 0.12, 0.11, 
4.28 174 208 0.08, 0.06, 0.09, 0.10, 0.10, 0.08, 0.05, 0.07, 0.08, 0.09, 0.08, 0.08, 0.09, 0.09, 0.09, 0.06, 0.09, 0.08, 0.08, 0.07, 
